insert into MOCK_DATA (Activity_ID, Activity_Name, Activity_Description, Activity_Date, Activity_Start_Time, Activity_End_Time, Shift_ID) values (1621.7, 'Emergency procedures were followed with precision', 'Medical emergency reported', '3/9/4514', '2:05', '13:36', 37288852);
insert into MOCK_DATA (Activity_ID, Activity_Name, Activity_Description, Activity_Date, Activity_Start_Time, Activity_End_Time, Shift_ID) values (2945.0, 'Emergency procedures were followed with precision', 'Water leak detected', '3/17/3807', '0:16', '23:56', 31545887);
insert into MOCK_DATA (Activity_ID, Activity_Name, Activity_Description, Activity_Date, Activity_Start_Time, Activity_End_Time, Shift_ID) values (1104.5, 'Nurses provided compassionate care to the patient', 'Building evacuation in progress', '4/21/6376', '11:23', '21:38', 17282858);
insert into MOCK_DATA (Activity_ID, Activity_Name, Activity_Description, Activity_Date, Activity_Start_Time, Activity_End_Time, Shift_ID) values (3008.0, 'Patient was stabilized and transferred to the ICU', 'Medical emergency reported', '9/9/7384', '11:18', '9:07', 42918393);
insert into MOCK_DATA (Activity_ID, Activity_Name, Activity_Description, Activity_Date, Activity_Start_Time, Activity_End_Time, Shift_ID) values (4955.4, 'Doctors collaborated effectively to make critical decisions', 'Gas leak detected', '3/11/9762', '14:48', '1:16', 13635689);
insert into MOCK_DATA (Activity_ID, Activity_Name, Activity_Description, Activity_Date, Activity_Start_Time, Activity_End_Time, Shift_ID) values (3134.5, 'Patient was stabilized and transferred to the ICU', 'Active shooter situation', '1/2/9022', '19:34', '2:51', 42529270);
insert into MOCK_DATA (Activity_ID, Activity_Name, Activity_Description, Activity_Date, Activity_Start_Time, Activity_End_Time, Shift_ID) values (9637.3, 'Emergency room was well-equipped to handle the situation', 'Gas leak detected', '1/16/8571', '21:14', '16:44', 33563231);
insert into MOCK_DATA (Activity_ID, Activity_Name, Activity_Description, Activity_Date, Activity_Start_Time, Activity_End_Time, Shift_ID) values (4689.3, 'Medical staff quickly assessed the situation', 'Fire alarm activated', '11/3/3852', '6:28', '2:34', 90825657);
insert into MOCK_DATA (Activity_ID, Activity_Name, Activity_Description, Activity_Date, Activity_Start_Time, Activity_End_Time, Shift_ID) values (8285.4, 'Patient was stabilized and transferred to the ICU', 'Building evacuation in progress', '11/3/8008', '5:54', '18:52', 60109059);
insert into MOCK_DATA (Activity_ID, Activity_Name, Activity_Description, Activity_Date, Activity_Start_Time, Activity_End_Time, Shift_ID) values (8728.8, 'Emergency procedures were followed with precision', 'Medical emergency reported', '2/12/3472', '13:32', '14:59', 18222439);
insert into MOCK_DATA (Activity_ID, Activity_Name, Activity_Description, Activity_Date, Activity_Start_Time, Activity_End_Time, Shift_ID) values (9696.5, 'Medical staff quickly assessed the situation', 'Gas leak detected', '9/26/6103', '8:44', '3:44', 88857890);
